pos, name, price,          rent, 1h, 2h, 3h, 4h, hotel, house_cost, sell
1, Mediterranean Ave, 60,  2,10,30,90,160,250,       50,30
3, Baltic Ave,        60,  4,20,60,180,320,450,      50,30
6, Oriental Ave,      100, 6,30,90,270,400,550,      50,50
8, Vermont Ave,       100, 6,30,90,270,400,550,      50,50
9, Connecticut Ave,   120, 8,40,100,300,450,600,     50,60
11,St. Charles Place, 140, 10,50,150,450,625,750,    100,70
13,States Ave,        140, 10,50,150,450,625,750,    100,70
14,Virginia Ave,      160, 12,60,180,500,700,900,    100,80
16,St. James Place,   180, 14,70,200,550,750,950,    100,90
18,Tennessee Ave,     180, 14,70,200,550,750,950,    100,90
19,New York Ave,      200, 16,80,220,600,800,1000,   100,100
21,Kentucky Ave,      220, 18,90,250,700,875,1050,   150,100
23,Indiana Ave,       220, 18,90,250,700,875,1050,   150,100
24,Illinois Ave,      240, 20,100,300,750,925,1100,  150,120
26,Atlantic Ave,      260, 22,110,330,800,975,1150,  150,130
27,Ventnor Ave,       260, 22,110,330,800,975,1150,  150,130
29,Marvin Gardens,    280, 24,120,350,850,1025,1200, 150,140
31,Pacific Ave,       300, 26,130,390,900,1100,1275, 200,150
32,North Carolina Ave,300, 26,130,390,900,1100,1275, 200,150
34,Pennsylvania Ave,  320, 28,150,450,1000,1200,1400,200,160
37,Park Place,        350, 35,175,500,1100,1300,1500,200,175
39,Boardwalk,         400, 50,200,600,1400,1700,2000,200,200
